posterior_mean,posterior_std,empirical_std,total_std,ci_lower,ci_upper,n_studies,relative_uncertainty,measurement_contribution,interstudy_contribution,Temperature
1.7299751058574282e-15,1.9027189374956407e-16,1.9396800126482449e-16,2.7171120526344943e-16,1.1974211435410673e-15,2.262529068173789e-15,4,15.706076020601529,49.038161941882116,50.96183805811787,250
7.19543163984798e-15,5.177894771680975e-16,1.2344090608163147e-15,1.338608109975219e-15,4.57175974429655e-15,9.819103535399409e-15,8,18.60358317577596,14.962340598480761,85.03765940151924,300
4.215900525907204e-14,3.125033383939892e-15,3.871369528823635e-15,4.975272422636066e-15,3.240747131070535e-14,5.191053920743873e-14,7,11.80120923646664,39.452596519543434,60.547403480456566,400
1.3325187433869804e-13,1.267947842665532e-14,4.601081026115492e-15,1.3488481003467279e-14,1.0681445157190217e-13,1.596892971054939e-13,4,10.122545045169435,88.36426897394351,11.63573102605649,500
2.9890517814309137e-13,2.844208966432707e-14,2.869438869464853e-14,4.0401985186784995e-14,2.1971728717699278e-13,3.7809306910918997e-13,4,13.516656164264852,49.55843601465005,50.441563985349944,600
7.125565369034564e-13,6.780276286752213e-14,1.4351482577579267e-13,1.587252968808865e-13,4.014549550169189e-13,1.0236581187899939e-12,4,22.275467090745675,18.247462765342803,81.7525372346572,750
8.909767427106136e-13,7.655715213241588e-14,1.7958591559134352e-13,1.952232020570481e-13,5.083392666787993e-13,1.2736142187424278e-12,5,21.911144556155488,15.378312280431153,84.62168771956884,800
2.101045623451791e-12,1.99923361590111e-13,1.4016023964996746e-13,2.4416028196294866e-13,1.6224914708044118e-12,2.5795997760991703e-12,4,11.620893865304062,67.04664574243444,32.953354257565564,1000
3.73482092065548e-12,3.3213902506651885e-13,1.824135129908188e-13,3.7893405982279986e-13,2.992110163402792e-12,4.477531677908168e-12,5,10.145976684641015,76.82676163931018,23.173238360689822,1200
7.237614370260859e-12,6.436437601200897e-13,3.802272980812042e-13,7.475627653566358e-13,5.772391350161853e-12,8.702837390359865e-12,5,10.32885598918269,74.13030770285329,25.869692297146706,1500
1.5713045547839448e-11,1.3973670331077756e-12,1.8014965407264608e-12,2.27991763260558e-12,1.124440698793251e-11,2.0181684107746386e-11,5,14.509711854803795,37.56493757338451,62.435062426615495,2000
2.735919497481449e-11,2.4330634690631597e-12,4.738072776997245e-12,5.326268063533044e-12,1.6919709570289723e-11,3.7798680379339253e-11,5,19.46792684666395,20.867039400556443,79.13296059944356,2500
5.939345398184844e-11,1.484836349546211e-11,0.0,1.484836349546211e-11,3.029066153074271e-11,8.849624643295419e-11,1,25.0,100.0,0.0,3000
